"vore","sleep_total","brainwt","bodywt"
"carni",12.1,NA,50
"omni",17,0.0155,0.48
"herbi",14.4,NA,1.35
"omni",14.9,0.00029,0.019
"herbi",4,0.423,600
"herbi",14.4,NA,3.85
"carni",8.7,NA,20.49
NA,7,NA,0.045
"carni",10.1,0.07,14
"herbi",3,0.0982,14.8
"herbi",5.3,0.115,33.5
"herbi",9.4,0.0055,0.728
"omni",10,NA,4.75
"herbi",12.5,0.0064,0.42
"omni",10.3,0.001,0.06
"omni",8.3,0.0066,1
"omni",9.1,0.00014,0.005
"carni",17.4,0.0108,3.5
"herbi",5.3,0.0123,2.95
"omni",18,0.0063,1.7
"herbi",3.9,4.603,2547
"insecti",19.7,3e-04,0.023
"herbi",2.9,0.655,521
"herbi",3.1,0.419,187
"omni",10.1,0.0035,0.77
"omni",10.9,0.115,10
"herbi",14.9,NA,0.071
"carni",12.5,0.0256,3.3
"omni",9.8,0.005,0.2
"herbi",1.9,NA,899.995
"carni",2.7,NA,800
"carni",6.2,0.325,85
"herbi",6.3,0.01227,2.625
"omni",8,1.32,62
"herbi",9.5,NA,1.67
"herbi",3.3,5.712,6654
"carni",19.4,NA,0.37
"omni",10.1,0.179,6.8
"herbi",14.2,NA,0.053
"herbi",14.3,0.001,0.12
"herbi",12.8,NA,0.035
"herbi",12.5,4e-04,0.022
"insecti",19.9,0.00025,0.01
"herbi",14.6,NA,0.266
"carni",11,0.0125,1.4
"herbi",7.7,NA,0.21
"carni",14.5,NA,0.028
"herbi",8.4,0.0121,2.5
"herbi",3.8,0.175,55.5
"omni",9.7,0.44,52.2
"carni",15.8,NA,162.564
"carni",10.4,0.157,100
"carni",13.5,NA,161.499
"omni",9.4,0.18,25.235
NA,10.3,0.0024,0.55
"omni",11,NA,1.1
NA,11.5,NA,0.021
NA,13.7,0.0114,1.62
"carni",3.5,NA,86
"carni",5.6,NA,53.18
"herbi",11.1,NA,1.1
"insecti",18.1,0.081,60
NA,5.4,0.021,3.6
"herbi",13,0.0019,0.32
"omni",8.7,NA,0.044
"omni",9.6,0.02,0.743
"insecti",8.4,0.0012,0.075
"herbi",11.3,0.00118,0.148
NA,10.6,0.003,0.122
"herbi",16.6,0.0057,0.92
"herbi",13.8,0.004,0.101
"herbi",15.9,NA,0.205
NA,12.8,0.00033,0.048
"omni",9.1,0.18,86.25
"insecti",8.6,0.025,4.5
"herbi",15.8,NA,0.112
"herbi",4.4,0.169,207.501
"omni",15.6,0.0026,0.9
"omni",8.9,0.0025,0.104
"carni",5.2,NA,173.33
"carni",6.3,0.0175,2
"carni",12.5,0.0445,3.38
"carni",9.8,0.0504,4.23
